epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6457,0.96468,1.31791,1.30017,0.94496,0.3738,0.43639,0.33288,0.85205,0.97557,1.17919,0.000548543,0.000548543,0.000548543
2,30.3408,0.94357,0.78573,1.26581,0.89018,0.37019,0.40979,0.27195,1.17321,1.36335,1.52734,0.00106048,0.00106048,0.00106048
3,41.1065,0.96309,0.76433,1.27921,0.923,0.39844,0.43662,0.29777,1.12475,0.8593,1.3873,0.00152841,0.00152841,0.00152841
4,51.7559,0.92842,0.73774,1.24873,0.92949,0.40632,0.4391,0.31863,1.02862,0.78744,1.32059,0.00146896,0.00146896,0.00146896
5,62.4345,0.91037,0.70697,1.24842,0.42803,0.4351,0.46181,0.33593,0.92976,0.86021,1.22444,0.00140295,0.00140295,0.00140295
6,73.2444,0.85807,0.64087,1.20369,0.96166,0.45673,0.47683,0.36694,0.86055,0.58331,1.15027,0.00133693,0.00133693,0.00133693
7,84.031,0.85663,0.63102,1.20134,0.96317,0.45346,0.47961,0.37619,0.82549,0.56747,1.12192,0.00127092,0.00127092,0.00127092
8,94.8404,0.84498,0.6119,1.20436,0.46624,0.46575,0.48405,0.38549,0.77961,0.53218,1.10451,0.00120491,0.00120491,0.00120491
9,105.584,0.79215,0.5596,1.16163,0.46452,0.47476,0.48519,0.38514,0.77936,0.48102,1.09791,0.00113889,0.00113889,0.00113889
10,116.279,0.76866,0.54476,1.14716,0.97835,0.46995,0.48803,0.39208,0.78885,0.47203,1.08422,0.00107288,0.00107288,0.00107288
11,126.974,0.75506,0.52992,1.13383,0.47972,0.46514,0.4895,0.40276,0.72818,0.44199,1.03972,0.00100687,0.00100687,0.00100687
12,137.743,0.72611,0.50866,1.12535,0.47784,0.47954,0.49037,0.4078,0.69892,0.41977,1.02202,0.000940855,0.000940855,0.000940855
13,148.409,0.71119,0.48866,1.11646,0.47598,0.46935,0.48797,0.4067,0.69254,0.44126,1.03248,0.000874842,0.000874842,0.000874842
14,158.945,0.70459,0.46501,1.10267,0.48297,0.47734,0.49097,0.41014,0.70308,0.40253,1.02519,0.000808828,0.000808828,0.000808828
15,169.741,0.68324,0.45813,1.09269,0.48026,0.47776,0.48999,0.41453,0.66145,0.38228,1.00392,0.000742815,0.000742815,0.000742815
16,181.666,0.62348,0.38592,1.05482,0.48062,0.47695,0.49009,0.40808,0.69443,0.38982,1.03193,0.000676802,0.000676802,0.000676802
17,192.517,0.62243,0.37557,1.05637,0.47791,0.48257,0.49043,0.41344,0.67235,0.38931,1.01455,0.000610789,0.000610789,0.000610789
18,203.388,0.61045,0.36883,1.02841,0.48132,0.48317,0.49199,0.41764,0.6883,0.38122,1.02436,0.000544776,0.000544776,0.000544776
19,214.281,0.57173,0.34003,1.02437,0.48426,0.48079,0.4942,0.42022,0.6695,0.37275,1.01568,0.000478762,0.000478762,0.000478762
20,225.073,0.55622,0.32355,1.00829,0.48256,0.48257,0.49355,0.42184,0.65983,0.35847,1.00444,0.000412749,0.000412749,0.000412749
21,235.774,0.55078,0.31461,1.004,0.48769,0.48137,0.49235,0.42851,0.636,0.33307,0.99148,0.000346736,0.000346736,0.000346736
22,246.556,0.54023,0.29829,1.00002,0.48154,0.48498,0.49298,0.43144,0.6126,0.32385,0.96897,0.000280723,0.000280723,0.000280723
23,257.349,0.51376,0.27621,0.97569,0.48433,0.48305,0.49207,0.43134,0.61289,0.31747,0.97872,0.00021471,0.00021471,0.00021471
24,268.076,0.4975,0.27211,0.97026,0.48244,0.48738,0.49365,0.43276,0.61568,0.31307,0.97381,0.000148696,0.000148696,0.000148696
25,278.807,0.4819,0.26012,0.95955,0.48558,0.49099,0.49425,0.43383,0.61263,0.30785,0.97768,8.26832e-05,8.26832e-05,8.26832e-05
