epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.4779,1.21086,4.15813,1.51866,0.34915,0.50807,0.38821,0.24991,1.16391,2.62178,1.65619,0.00029088,0.00029088,0.00029088
2,69.4776,1.01901,1.20881,1.34355,0.50793,0.43592,0.43565,0.2577,1.64414,1.87428,2.03337,0.000567452,0.000567452,0.000567452
3,92.5011,1.06133,1.12918,1.37959,0.68832,0.36451,0.37755,0.18618,1.68762,2.1008,2.24599,0.000820267,0.000820267,0.000820267
4,114.935,1.07038,1.10569,1.37676,0.62008,0.51673,0.50142,0.3044,1.46175,2.05722,1.98588,0.000801011,0.000801011,0.000801011
5,137.924,1.04564,1.03854,1.35713,0.78312,0.56932,0.60685,0.38324,1.3115,1.45617,1.76116,0.000765014,0.000765014,0.000765014
6,160.541,1.00798,0.98597,1.32822,0.67942,0.5094,0.57326,0.32131,1.36061,1.40406,1.69507,0.000729018,0.000729018,0.000729018
7,183.262,0.99599,0.94979,1.32158,0.73541,0.60842,0.63018,0.42136,1.16361,1.19737,1.56682,0.000693022,0.000693022,0.000693022
8,205.985,0.97523,0.90301,1.30738,0.84548,0.70766,0.72751,0.48273,1.22671,1.08752,1.64225,0.000657025,0.000657025,0.000657025
9,228.753,0.94735,0.88539,1.28726,0.89188,0.66413,0.76623,0.52977,1.11501,0.93708,1.49317,0.000621029,0.000621029,0.000621029
10,251.439,0.92549,0.8414,1.26785,0.86734,0.64913,0.70599,0.47389,1.07597,1.00091,1.47563,0.000585032,0.000585032,0.000585032
11,274.053,0.8931,0.79559,1.24913,0.84115,0.72562,0.7634,0.51668,1.11368,0.91034,1.48707,0.000549036,0.000549036,0.000549036
12,295.738,0.88098,0.78138,1.24001,0.86995,0.69891,0.7603,0.53303,1.01885,0.81215,1.41745,0.00051304,0.00051304,0.00051304
13,318.556,0.87825,0.76952,1.23537,0.90723,0.71408,0.76831,0.54007,1.03785,0.78599,1.40108,0.000477043,0.000477043,0.000477043
14,341.191,0.8545,0.72561,1.21888,0.92534,0.73895,0.782,0.56525,1.00759,0.81438,1.3986,0.000441047,0.000441047,0.000441047
15,362.763,0.82894,0.69967,1.20503,0.91434,0.74396,0.78097,0.54675,0.98798,0.76378,1.36828,0.00040505,0.00040505,0.00040505
16,388.83,0.816,0.62342,1.22431,0.89565,0.74556,0.7777,0.55739,0.98987,0.77748,1.3858,0.000369054,0.000369054,0.000369054
17,411.744,0.79783,0.57975,1.20579,0.93825,0.74225,0.79736,0.55772,0.98374,0.71678,1.37909,0.000333058,0.000333058,0.000333058
18,433.298,0.77641,0.54206,1.19313,0.90238,0.75179,0.79427,0.58224,0.9613,0.7032,1.34262,0.000297061,0.000297061,0.000297061
19,456.235,0.75674,0.52198,1.17797,0.88119,0.75651,0.79245,0.57969,0.95765,0.70106,1.34675,0.000261065,0.000261065,0.000261065
20,478.889,0.73102,0.48961,1.15681,0.91071,0.74487,0.79327,0.58166,0.9448,0.68544,1.3338,0.000225068,0.000225068,0.000225068
21,501.031,0.72022,0.47845,1.14976,0.90621,0.75958,0.79943,0.59634,0.92122,0.66972,1.31021,0.000189072,0.000189072,0.000189072
22,523.744,0.69446,0.45104,1.12677,0.90741,0.76428,0.80008,0.58345,0.90771,0.64232,1.29908,0.000153076,0.000153076,0.000153076
23,546.746,0.66982,0.42796,1.11059,0.89974,0.77738,0.80712,0.59707,0.91276,0.65319,1.31331,0.000117079,0.000117079,0.000117079
24,569.191,0.65826,0.41617,1.11048,0.91885,0.77674,0.82003,0.61009,0.8977,0.62039,1.29502,8.10828e-05,8.10828e-05,8.10828e-05
25,591.673,0.6327,0.39407,1.08641,0.91296,0.80141,0.82219,0.60804,0.89767,0.62451,1.29643,4.50864e-05,4.50864e-05,4.50864e-05
